City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Condition,Date
81,Dzerzhinskoye,RU,56.83,95.23,59.86,93,100,8.59,overcast clouds,2020-07-31 01:13:38
82,Guerrero Negro,MX,27.98,-114.06,75.13,67,0,15.61,clear sky,2020-07-31 01:13:38
83,Bredasdorp,ZA,-34.53,20.04,50.0,87,0,5.82,clear sky,2020-07-31 01:13:38
84,Seoul,KR,37.57,126.98,80.6,78,1,2.15,clear sky,2020-07-31 01:09:12
85,Manzhouli,CN,49.6,117.43,71.01,70,79,5.37,light rain,2020-07-31 01:13:38
86,Castro,BR,-24.79,-50.01,48.34,90,62,8.93,broken clouds,2020-07-31 01:13:39
87,Manicore,BR,-5.81,-61.3,73.4,88,22,1.5,few clouds,2020-07-31 01:13:39
88,Bluff,NZ,-46.6,168.33,50.94,85,74,6.06,broken clouds,2020-07-31 01:13:39
89,Taoudenni,ML,22.68,-3.98,91.36,35,14,11.83,few clouds,2020-07-31 01:13:39
90,Maungaturoto,NZ,-36.1,174.37,59.0,78,85,4.0,overcast clouds,2020-07-31 01:13:39
91,Yellowknife,CA,62.46,-114.35,71.6,43,40,14.99,scattered clouds,2020-07-31 01:11:51
92,Hermanus,ZA,-34.42,19.23,46.0,94,0,4.36,clear sky,2020-07-31 01:13:39
93,Kirakira,SB,-10.45,161.92,83.26,74,100,3.33,light rain,2020-07-31 01:13:39
94,Mataura,NZ,-46.19,168.86,56.48,65,100,2.91,overcast clouds,2020-07-31 01:11:37
95,Shieli,KZ,44.17,66.75,73.11,33,23,8.03,few clouds,2020-07-31 01:13:39
96,Baykit,RU,61.67,96.37,65.44,66,89,4.41,overcast clouds,2020-07-31 01:13:39
97,Klaksvik,FO,62.23,-6.59,50.0,93,100,19.46,light rain,2020-07-31 01:13:39
98,Auki,SB,-8.77,160.7,83.25,75,39,3.8,light rain,2020-07-31 01:13:40
99,Kyra,RU,49.58,111.98,62.17,82,100,1.03,overcast clouds,2020-07-31 01:13:40
100,Bengkulu,ID,-3.8,102.27,77.11,88,100,8.14,overcast clouds,2020-07-31 01:11:59
101,Thompson,CA,55.74,-97.86,66.2,93,75,3.36,light intensity shower rain,2020-07-31 01:13:40
102,Glendive,US,47.11,-104.71,89.6,31,20,9.17,thunderstorm,2020-07-31 01:13:40
103,Atar,MR,20.52,-13.05,87.73,47,100,7.99,moderate rain,2020-07-31 01:13:40
104,Yulara,AU,-25.24,130.99,57.2,24,0,12.75,clear sky,2020-07-31 01:13:40
105,Vao,NC,-22.67,167.48,72.73,89,49,17.29,light rain,2020-07-31 01:13:40
106,Nikolskoye,RU,59.7,30.79,57.0,87,40,4.47,scattered clouds,2020-07-31 01:13:40
107,Roald,NO,62.58,6.13,57.0,100,2,2.24,clear sky,2020-07-31 01:13:40
108,Houma,US,29.6,-90.72,86.0,74,1,5.82,clear sky,2020-07-31 01:13:40
109,Port Alfred,ZA,-33.59,26.89,55.9,83,2,7.92,clear sky,2020-07-31 01:08:59
110,Alyangula,AU,-13.85,136.42,77.0,53,0,6.93,clear sky,2020-07-31 01:13:41
111,Kaseda,JP,31.42,130.32,87.8,66,40,4.7,scattered clouds,2020-07-31 01:13:41
112,Mgandu,TZ,-5.95,34.13,56.17,87,0,5.68,clear sky,2020-07-31 01:13:41
113,Karla,EE,59.37,24.93,57.99,93,40,2.24,scattered clouds,2020-07-31 01:13:41
114,Hithadhoo,MV,-0.6,73.08,83.17,74,94,8.66,overcast clouds,2020-07-31 01:13:41
115,Chitipa,MW,-9.7,33.27,57.36,93,0,5.46,clear sky,2020-07-31 01:13:41
116,Hilo,US,19.73,-155.09,84.2,54,1,11.41,clear sky,2020-07-31 01:09:11
117,Tuktoyaktuk,CA,69.45,-133.04,66.2,63,75,3.36,broken clouds,2020-07-31 01:13:41
118,Carnarvon,AU,-24.87,113.63,62.6,88,0,11.41,clear sky,2020-07-31 01:13:41
119,Vicuna,CL,-30.03,-70.71,60.01,35,1,6.4,clear sky,2020-07-31 01:13:41
120,Puerto Ayora,EC,-0.74,-90.35,66.99,93,58,1.01,broken clouds,2020-07-31 01:13:42
121,Vila Velha,BR,-20.33,-40.29,75.0,83,75,17.22,light rain,2020-07-31 01:13:42
122,Labuhan,ID,-6.88,112.21,77.45,76,0,11.61,clear sky,2020-07-31 01:13:42
123,Saint-Philippe,RE,-21.36,55.77,68.0,77,20,8.05,few clouds,2020-07-31 01:13:42
124,Nemuro,JP,43.32,145.57,78.8,69,20,6.93,few clouds,2020-07-31 01:13:42
125,Saint-Joseph,RE,-21.37,55.62,68.0,77,20,8.05,few clouds,2020-07-31 01:13:42
126,Sola,VU,-13.88,167.55,82.4,94,90,5.82,overcast clouds,2020-07-31 01:13:42
127,Havre-Saint-Pierre,CA,50.23,-63.6,60.8,100,90,11.41,mist,2020-07-31 01:13:42
128,Marzuq,YE,14.4,46.47,78.4,60,100,3.56,overcast clouds,2020-07-31 01:13:42
129,Hamilton,US,39.18,-84.53,70.0,94,90,6.93,mist,2020-07-31 01:10:08
130,Upernavik,GL,72.79,-56.15,43.36,75,54,5.17,broken clouds,2020-07-31 01:13:42
131,Qaanaaq,GL,77.48,-69.36,41.68,66,0,4.97,clear sky,2020-07-31 01:13:43
132,Noumea,NC,-22.28,166.46,75.0,100,90,5.82,overcast clouds,2020-07-31 01:13:43
133,Boende,CD,-0.22,20.87,73.69,72,0,0.65,clear sky,2020-07-31 01:13:43
134,Cravo Norte,CO,6.3,-70.2,76.69,86,91,5.53,overcast clouds,2020-07-31 01:13:43
135,Morondava,MG,-20.28,44.28,65.53,75,0,14.0,clear sky,2020-07-31 01:13:43
136,Pasighat,IN,28.07,95.33,76.68,89,100,2.37,light rain,2020-07-31 01:13:43
137,Nikolayevsk-Na-Amure,RU,53.14,140.73,64.65,71,100,4.36,overcast clouds,2020-07-31 01:13:43
138,Makat,KZ,47.65,53.35,74.12,47,0,7.25,clear sky,2020-07-31 01:13:43
139,Badou,TG,7.58,0.6,69.73,92,100,3.29,overcast clouds,2020-07-31 01:09:03
140,Iqaluit,CA,63.75,-68.51,51.8,81,90,4.7,overcast clouds,2020-07-31 01:13:43
141,Ontario,US,34.06,-117.65,98.6,17,20,12.75,smoke,2020-07-31 01:09:24
142,Camacha,PT,33.08,-16.33,68.0,72,75,8.05,broken clouds,2020-07-31 01:13:44
143,Nayoro,JP,44.35,142.46,75.54,64,52,4.81,broken clouds,2020-07-31 01:13:44
144,Mount Gambier,AU,-37.83,140.77,46.4,93,100,5.82,overcast clouds,2020-07-31 01:13:44
145,Port Blair,IN,11.67,92.75,81.43,79,100,16.11,light rain,2020-07-31 01:13:44
146,Beloha,MG,-25.17,45.05,59.41,87,2,4.47,clear sky,2020-07-31 01:13:44
147,Miyazu,JP,35.53,135.18,80.6,78,75,4.7,broken clouds,2020-07-31 01:13:44
148,Sao Joao Da Barra,BR,-21.64,-41.05,68.34,82,100,19.8,light rain,2020-07-31 01:13:44
149,Puerto Colombia,CO,10.99,-74.95,78.8,83,20,4.7,few clouds,2020-07-31 01:13:42
150,Constitucion,CL,-35.33,-72.42,51.06,81,100,3.36,overcast clouds,2020-07-31 01:13:44
151,Rodrigues Alves,BR,-7.74,-72.65,75.56,68,29,2.93,scattered clouds,2020-07-31 01:13:44
152,Oktyabrskiy,RU,54.48,53.47,61.14,93,76,4.47,broken clouds,2020-07-31 01:13:45
153,Dikson,RU,73.51,80.55,53.98,69,100,11.95,overcast clouds,2020-07-31 01:13:45
154,Amga,RU,60.9,131.96,69.93,37,38,5.28,scattered clouds,2020-07-31 01:13:45
155,Goure,NE,13.98,10.27,80.19,68,94,15.55,overcast clouds,2020-07-31 01:13:45
156,Etchoropo,MX,26.77,-109.67,93.0,54,2,7.0,clear sky,2020-07-31 01:13:45
157,Milford,US,41.22,-73.06,78.8,69,1,9.1,clear sky,2020-07-31 01:13:45
158,Wilmington,US,34.23,-77.94,82.99,78,75,12.75,broken clouds,2020-07-31 01:09:40
159,Peniche,PT,39.36,-9.38,64.99,86,91,7.0,overcast clouds,2020-07-31 01:13:45
160,Lebu,CL,-37.62,-73.65,49.6,92,66,12.21,broken clouds,2020-07-31 01:13:45
161,Kawalu,ID,-7.38,108.21,72.1,68,6,0.6,clear sky,2020-07-31 01:13:45
162,Poum,NC,-20.23,164.02,73.51,90,21,12.06,few clouds,2020-07-31 01:13:46
163,Kiunga,PG,-6.12,141.29,78.22,76,98,5.84,overcast clouds,2020-07-31 01:13:46
164,Torbay,CA,47.67,-52.73,59.0,100,90,2.93,overcast clouds,2020-07-31 01:13:46
165,Husavik,IS,66.04,-17.34,48.2,93,90,2.24,overcast clouds,2020-07-31 01:13:46
166,Kapaa,US,22.08,-159.32,82.4,65,75,16.11,broken clouds,2020-07-31 01:13:46
167,Kavieng,PG,-2.57,150.8,85.39,73,100,9.75,light rain,2020-07-31 01:13:46
168,Lodhran,PK,29.54,71.63,94.55,45,0,11.43,clear sky,2020-07-31 01:13:46
169,Bouna,CI,9.27,-3.0,72.39,81,21,4.16,few clouds,2020-07-31 01:13:46
170,Mingyue,CN,43.11,128.92,78.31,68,100,4.88,overcast clouds,2020-07-31 01:13:46
171,Caucasia,CO,7.99,-75.19,77.56,93,100,4.61,moderate rain,2020-07-31 01:13:46
172,Hobyo,SO,5.35,48.53,77.47,79,99,23.33,overcast clouds,2020-07-31 01:13:46
173,Salalah,OM,17.02,54.09,82.4,94,75,4.7,broken clouds,2020-07-31 01:13:47
174,Axim,GH,4.87,-2.24,74.71,84,99,8.34,overcast clouds,2020-07-31 01:13:47
175,Bilma,NE,18.69,12.92,91.63,23,96,7.29,overcast clouds,2020-07-31 01:13:47
176,Komsomolskiy,UZ,40.43,71.72,78.8,41,97,4.7,overcast clouds,2020-07-31 01:13:47
177,Aklavik,CA,68.22,-135.01,77.0,41,40,13.87,smoke,2020-07-31 01:13:47
178,Kailua,US,21.4,-157.74,82.0,69,75,10.29,broken clouds,2020-07-31 01:13:47
179,Kerouane,GN,9.27,-9.02,69.15,92,100,2.75,overcast clouds,2020-07-31 01:13:47
180,Hobart,AU,-42.88,147.33,55.0,66,75,10.29,broken clouds,2020-07-31 01:13:47
181,Tuatapere,NZ,-46.13,167.68,54.93,81,100,3.13,overcast clouds,2020-07-31 01:13:47
182,Talnakh,RU,69.49,88.4,69.8,52,7,20.13,clear sky,2020-07-31 01:13:47
183,Dongying,CN,37.46,118.49,88.18,57,0,6.53,clear sky,2020-07-31 01:13:48
184,Meulaboh,ID,4.14,96.13,77.27,83,100,3.56,light rain,2020-07-31 01:13:48
185,Lavrentiya,RU,65.58,-171.0,46.22,80,100,9.89,overcast clouds,2020-07-31 01:13:48
186,Sisimiut,GL,66.94,-53.67,46.45,77,94,6.38,overcast clouds,2020-07-31 01:13:48
187,Ola,RU,59.58,151.28,58.03,64,100,0.63,overcast clouds,2020-07-31 01:13:48
188,Horta,PT,38.53,-28.63,69.98,73,29,11.45,scattered clouds,2020-07-31 01:13:48
189,Hokitika,NZ,-42.72,170.97,56.53,65,100,5.12,overcast clouds,2020-07-31 01:09:25
190,Udachnyy,RU,66.42,112.4,62.6,51,0,4.47,clear sky,2020-07-31 01:13:48
191,Karratha,AU,-20.74,116.85,73.81,26,0,8.08,clear sky,2020-07-31 01:13:49
192,Oranjemund,NA,-28.55,16.43,60.93,39,0,5.91,clear sky,2020-07-31 01:13:49
193,Nome,US,64.5,-165.41,55.4,76,75,10.29,broken clouds,2020-07-31 01:13:49
194,Bandarbeyla,SO,9.49,50.81,78.98,72,0,26.78,clear sky,2020-07-31 01:13:49
195,Zhigalovo,RU,54.81,105.16,67.21,73,100,2.21,overcast clouds,2020-07-31 01:13:49
196,Shepsi,RU,44.04,39.15,74.17,78,1,3.44,clear sky,2020-07-31 01:13:49
197,Redmond,US,47.67,-122.12,89.01,47,0,1.01,clear sky,2020-07-31 01:13:31
198,Genhe,CN,50.78,121.52,65.64,88,99,2.08,moderate rain,2020-07-31 01:13:49
199,Progreso,MX,21.28,-89.67,86.0,70,40,17.43,scattered clouds,2020-07-31 01:13:49
200,Praia,CV,14.92,-23.51,78.8,74,75,11.41,broken clouds,2020-07-31 01:13:49
201,Codrington,AU,-38.27,141.97,52.12,74,84,10.51,broken clouds,2020-07-31 01:13:49
202,Cherskiy,RU,68.75,161.3,49.19,66,90,8.63,overcast clouds,2020-07-31 01:13:50
203,Kuytun,RU,54.34,101.5,65.53,74,29,5.5,scattered clouds,2020-07-31 01:13:50
204,Gravdal,NO,68.12,13.5,59.2,72,100,5.17,overcast clouds,2020-07-31 01:13:50
205,Mancio Lima,BR,-7.61,-72.9,75.88,70,32,2.37,scattered clouds,2020-07-31 01:13:50
206,Musoma,TZ,-1.5,33.8,71.01,61,21,6.67,few clouds,2020-07-31 01:13:50
207,Cabo San Lucas,MX,22.89,-109.91,87.01,54,5,13.87,clear sky,2020-07-31 01:13:13
208,Sidney,AU,-33.87,151.21,59.0,62,20,11.41,light rain,2020-07-31 01:12:40
209,Candelaria,PH,13.93,121.42,77.18,91,100,0.36,light rain,2020-07-31 01:13:50
210,Cayenne,GF,4.93,-52.33,77.0,100,48,5.3,light rain,2020-07-31 01:13:50
211,East London,ZA,-33.02,27.91,58.5,75,0,5.39,clear sky,2020-07-31 01:13:50
212,Arbroath,GB,56.56,-2.59,55.99,100,75,2.24,mist,2020-07-31 01:13:51
213,Victoria,HK,22.29,114.16,82.0,83,97,18.01,moderate rain,2020-07-31 01:13:22
214,Uvira,CD,-3.41,29.15,73.85,54,1,1.88,clear sky,2020-07-31 01:13:51
215,Batagay,RU,67.63,134.63,59.32,48,0,4.94,clear sky,2020-07-31 01:13:51
216,San Cristobal,VE,7.77,-72.22,67.32,92,99,5.06,light rain,2020-07-31 01:13:51
217,Prestice,CZ,49.57,13.33,57.2,67,0,0.36,clear sky,2020-07-31 01:13:51
218,Sao Filipe,CV,14.9,-24.5,75.83,81,22,8.39,few clouds,2020-07-31 01:13:51
219,Kangaatsiaq,GL,68.31,-53.46,44.76,82,100,6.42,overcast clouds,2020-07-31 01:13:51
220,Kamenka,RU,51.32,42.77,66.0,92,80,1.01,light rain,2020-07-31 01:13:51
221,Salamiyah,SY,35.01,37.05,74.08,52,0,9.44,clear sky,2020-07-31 01:13:51
222,Baghdad,IQ,33.34,44.4,89.6,25,0,6.93,clear sky,2020-07-31 01:13:51
223,Melfi,IT,41.0,15.65,80.6,61,5,1.12,clear sky,2020-07-31 01:13:52
224,Sfantu Gheorghe,RO,45.87,25.78,64.99,83,0,0.83,clear sky,2020-07-31 01:13:52
225,Camacupa,AO,-12.02,17.48,50.49,49,0,4.7,clear sky,2020-07-31 01:11:54
226,Menongue,AO,-14.66,17.69,50.67,54,0,5.19,clear sky,2020-07-31 01:13:52
227,Voh,NC,-20.97,164.7,77.81,74,68,3.69,light rain,2020-07-31 01:13:52
228,Deputatskiy,RU,69.3,139.9,53.92,53,0,3.49,clear sky,2020-07-31 01:13:52
229,Orange,US,33.7,-117.77,87.01,47,1,5.82,clear sky,2020-07-31 01:13:52
230,Uglovka,RU,58.24,33.51,52.95,95,84,8.19,broken clouds,2020-07-31 01:13:52
231,Morong,PH,14.51,121.24,82.99,83,100,5.82,light rain,2020-07-31 01:13:52
232,Chokurdakh,RU,70.63,147.92,48.13,75,100,10.65,overcast clouds,2020-07-31 01:13:52
233,Kasongo-Lunda,CD,-6.47,16.82,66.79,31,0,0.45,clear sky,2020-07-31 01:13:52
234,Pucallpa,PE,-8.38,-74.55,71.6,83,40,6.93,scattered clouds,2020-07-31 01:13:53
235,Shubarshi,KZ,48.59,57.19,71.11,34,0,6.33,clear sky,2020-07-31 01:13:53
236,Maneadero,MX,31.72,-116.57,69.01,85,6,1.99,clear sky,2020-07-31 01:13:53
237,Fairhope,US,30.52,-87.9,86.0,83,40,3.36,scattered clouds,2020-07-31 01:13:53
238,Coquimbo,CL,-29.95,-71.34,51.8,87,0,10.29,clear sky,2020-07-31 01:13:53
239,Erenhot,CN,43.65,111.98,78.19,49,0,8.41,clear sky,2020-07-31 01:13:53
240,Nishihara,JP,26.18,127.76,89.6,74,40,13.87,scattered clouds,2020-07-31 01:13:53
241,Ostrovnoy,RU,68.05,39.51,50.94,86,100,14.14,overcast clouds,2020-07-31 01:13:53
242,Katsuura,JP,35.13,140.3,79.0,88,75,4.7,broken clouds,2020-07-31 01:13:53
243,Uruacu,BR,-14.52,-49.14,71.17,36,0,5.12,clear sky,2020-07-31 01:11:12
244,Kargasok,RU,59.06,80.86,55.4,89,67,5.84,broken clouds,2020-07-31 01:13:54
245,Hami,CN,42.8,93.45,73.87,30,0,14.65,clear sky,2020-07-31 01:13:54
