City_ID,City,Country,Max Temp,Weather Condition,Lat,Lng,Hotel Name
238,Coquimbo,CL,51.8,clear sky,-29.95,-71.34,Hotel San Juan
239,Erenhot,CN,78.19,clear sky,43.65,111.98,Erenhot Rurouni Youth Hostel
240,Nishihara,JP,89.6,scattered clouds,26.18,127.76,Minshuku Agaihama
241,Ostrovnoy,RU,50.94,overcast clouds,68.05,39.51,np.nan
242,Katsuura,JP,79.0,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
243,Uruacu,BR,71.17,clear sky,-14.52,-49.14,Super Pesca iscas vivas
244,Kargasok,RU,55.4,broken clouds,59.06,80.86,Hotel Kargasok
245,Hami,CN,73.87,clear sky,42.8,93.45,Laoyutang Resort
246,Cochrane,CA,77.0,broken clouds,51.18,-114.47,Days Inn & Suites by Wyndham Cochrane
247,Muros,ES,63.0,fog,42.78,-9.06,Apartment Av. Castelao
248,Amapa,BR,73.0,overcast clouds,1.0,-52.0,np.nan
249,Sao Benedito Do Rio Preto,BR,76.71,clear sky,-3.33,-43.53,João de Barro Hotel
250,Tawau,MY,78.8,few clouds,4.25,117.89,Shervinton Executive Boutique Hotel
251,Berea,US,75.99,overcast clouds,41.37,-81.85,Comfort Inn Cleveland Airport
252,Medea,DZ,75.2,few clouds,36.26,2.75,Hôtel M'Sallah
253,Isangel,VU,80.6,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
254,Scarborough,GB,62.01,overcast clouds,54.28,-0.4,Ambassador
255,Iona,US,84.0,broken clouds,26.52,-81.96,La Quinta Inn & Suites by Wyndham Ft. Myers-Sanibel Gateway
256,Qazvin,IR,66.2,scattered clouds,36.28,50.0,Alborz Hotel
257,Perth,AU,57.99,few clouds,-31.93,115.83,Rendezvous Hotel Perth Central
258,Wattegama,LK,77.0,scattered clouds,6.8,81.48,np.nan
259,Viedma,AR,46.99,broken clouds,-40.81,-63.0,Hotel Cristal
260,Bafra,TR,71.6,broken clouds,41.57,35.91,Sevgi Otel
261,Vuktyl,RU,55.99,overcast clouds,63.86,57.31,Mini-Hotel Lokomotiv
262,Siyabuswa,ZA,48.06,clear sky,-25.11,29.04,Uluju properties
263,Natal,BR,75.2,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
264,Gat,IL,77.0,clear sky,31.61,34.76,רגע בנחת
265,Gudari,IN,79.38,overcast clouds,19.35,83.78,Tirupati Hotel
266,Nacala,MZ,60.8,clear sky,-14.54,40.67,Nacala Plaza Business Design Hotel
267,Boguchany,RU,66.18,clear sky,58.38,97.45,Uyut
268,Kuzovatovo,RU,62.15,overcast clouds,53.55,47.69,"Kladbishche ""Alekseya Abramova"""
269,Airai,TL,66.65,overcast clouds,-8.93,125.41,Juvinal Martin
270,Fort Smith,US,87.8,few clouds,35.39,-94.4,Hampton Inn Fort Smith
271,Kathu,TH,84.99,light rain,7.92,98.33,Sunset Beach Resort
272,Namibe,AO,63.32,clear sky,-15.2,12.15,Hotel Chik Chik Namibe
273,Kieta,PG,85.64,light rain,-6.22,155.63,np.nan
274,Sorland,NO,59.05,clear sky,67.67,12.69,Sjybrygga fiskecamp
275,Tsiroanomandidy,MG,63.5,overcast clouds,-18.77,46.03,np.nan
276,Fredericksburg,US,75.2,heavy intensity rain,38.3,-77.46,Courtyard by Marriott Fredericksburg Historic District
277,Batagay-Alyta,RU,56.21,clear sky,67.8,130.41,np.nan
278,Sambava,MG,67.75,clear sky,-14.27,50.17,Melrose
279,Kushima,JP,87.8,few clouds,31.46,131.23,Hanaoka
280,Clinton,US,73.99,broken clouds,42.59,-82.92,River's Edge
282,Adre,TD,73.74,overcast clouds,13.47,22.2,np.nan
283,Manta,EC,71.6,few clouds,-0.95,-80.73,Balandra Hotel
284,Ca Mau,VN,81.45,light rain,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
285,Labrea,BR,75.61,scattered clouds,-7.26,-64.8,Hotel Novo Horizonte
286,Gulu,UG,64.94,overcast clouds,2.77,32.3,ACHOLI INN
287,Kavaratti,IN,82.29,moderate rain,10.57,72.64,Bismillah Hotel And Lodging
288,Beringovskiy,RU,50.47,overcast clouds,63.05,179.32,Beringgorski
289,San Fernando,PH,82.4,broken clouds,15.03,120.69,Maharlika Hostel
290,Nizhniy Kuranakh,RU,60.04,light rain,58.84,125.49,Park Pobedy
291,Sobolevo,RU,50.43,clear sky,54.43,31.9,np.nan
292,Aktau,KZ,66.2,clear sky,43.65,51.2,Silk Way Hotel
293,Alice Springs,AU,59.0,clear sky,-23.7,133.88,Desert Palms Alice Springs
294,Mazagao,BR,78.8,few clouds,-0.12,-51.29,Casa Lima Santos
296,Dzhebariki-Khaya,RU,73.02,clear sky,62.22,135.8,np.nan
297,Crawley,GB,63.0,clear sky,51.11,-0.18,Premier Inn London Gatwick Airport (Manor Royal) hotel
298,Coos Bay,US,78.01,mist,43.37,-124.22,Best Western Holiday Hotel
299,San Rafael Del Sur,NI,89.6,smoke,11.85,-86.44,Hospedaje El Chino
300,Mahebourg,MU,69.8,broken clouds,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
301,Sanming,CN,85.46,overcast clouds,26.25,117.62,Sanming Huangting Lijing Hotel
302,Port Hedland,AU,69.8,clear sky,-20.32,118.57,The Esplanade Hotel
303,Mehamn,NO,50.92,overcast clouds,71.04,27.85,Mehamn Arctic Hotel AS
304,Longyearbyen,SJ,46.4,broken clouds,78.22,15.64,"Radisson Blu Polar Hotel, Spitsbergen"
305,Nahrin,AF,70.68,clear sky,36.06,69.13,np.nan
306,Balaghat,IN,80.71,broken clouds,21.8,80.18,Hotel celebration
307,Mosquera,CO,57.2,few clouds,4.71,-74.23,Hotel SJ
308,Filadelfia,US,87.01,overcast clouds,39.95,-75.16,Loews Philadelphia Hotel
309,Bar Harbor,US,71.6,few clouds,44.39,-68.2,Atlantic Oceanside Hotel & Event Center
310,Dunedin,NZ,54.0,overcast clouds,-45.87,170.5,Scenic Hotel Southern Cross
311,Necochea,AR,44.01,scattered clouds,-38.55,-58.74,dyd -mar Hotel
312,Sochi,RU,69.8,few clouds,43.6,39.73,Bounty Hotel
313,Novopokrovka,UA,66.2,broken clouds,49.84,36.55,Пудж дом
314,Havelock,US,82.99,overcast clouds,34.88,-76.9,Sherwood Motel
315,Aksu,CN,78.33,few clouds,41.12,80.26,Pudong Holiday Hotel
316,Venado Tuerto,AR,39.99,overcast clouds,-33.75,-61.97,La Bianca.
317,Bayeux,BR,69.8,light rain,-7.12,-34.93,Hotel Villa Rica
318,Zaragoza,ES,81.0,clear sky,41.66,-0.88,Hotel Goya
319,Saint-Louis,SN,78.8,thunderstorm with rain,16.33,-15.0,np.nan
320,Atasu,KZ,66.88,overcast clouds,48.68,71.64,Dostyk
321,Port Hawkesbury,CA,71.6,broken clouds,45.62,-61.35,Hearthstone Inn Port Hawkesbury
322,Saint-Georges,GD,80.6,few clouds,12.06,-61.75,Siesta Hotel
323,Narsaq,GL,46.4,overcast clouds,60.92,-46.05,Hotel Narsaq
324,Changping,CN,91.0,clear sky,40.22,116.22,Huachang Hotel
325,Markala,ML,83.21,clear sky,13.7,-6.07,Yaya Hôtel
326,Jalu,LY,79.03,clear sky,29.03,21.55,Jalu Hotel
327,Diapaga,BF,78.67,clear sky,12.07,1.79,np.nan
328,Druzhba,UA,56.98,few clouds,52.04,33.95,np.nan
329,Puerto Del Rosario,ES,73.4,broken clouds,28.5,-13.86,Hotel JM Puerto del Rosario
330,Chalmette,US,88.0,few clouds,29.94,-89.96,Marina Motel Chalmette
331,Tabatinga,BR,77.0,few clouds,-4.25,-69.94,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
332,Buenos Aires,AR,53.6,clear sky,-34.61,-58.38,Gran Hotel Argentino
333,Outlook,CA,82.99,scattered clouds,51.5,-107.05,Red Wheel Motel
334,Dingle,PH,83.98,light rain,11.0,122.67,Camp Pasica
335,Imeni Poliny Osipenko,RU,63.59,overcast clouds,52.42,136.49,Yubileynaya
336,Inta,RU,55.11,overcast clouds,66.03,60.17,Apartments in Inta city
337,Surt,LY,76.69,clear sky,31.21,16.59,City Hotel
338,Bella Union,UY,46.8,clear sky,-30.28,-57.6,Hotel Oriente
339,Pimentel,PE,60.33,few clouds,-6.84,-79.93,Casona Del Muelle
341,Sergeyevka,KZ,61.9,broken clouds,53.88,67.42,np.nan
342,Leavenworth,US,72.0,heavy intensity rain,39.23,-95.03,Suncatcher Lake & RV Resort
343,Trairi,BR,78.15,clear sky,-3.28,-39.27,Pousada Field Lilies - Trairi
344,Zalantun,CN,77.74,clear sky,48.0,122.72,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
345,College,US,78.8,broken clouds,64.86,-147.8,Pike's Waterfront Lodge
346,Port Hardy,CA,71.6,clear sky,50.7,-127.42,Airport Inn
347,Bathsheba,BB,82.4,few clouds,13.22,-59.52,Atlantis Hotel
348,Smidovich,RU,77.2,scattered clouds,48.6,133.82,Gostinnitsa
